Nome Técnico;Dosagem (g);Nutrientes Fornecidos;Dosagem Estimada dos Nutrientes;Comentários Adicionais
Creatina monohidratada;2,0;Creatina;2000 mg;
Bitartarato de colina;0,3;Colina;300 mg;
Extrato de Rhodiola rosea (3% rosavinas, 1% salidrosídeos);0,3;"Rosavinas, Salidrosídeos";30 µg;Adaptógeno para estresse
Cloreto de sódio;0,25;Sódio;250 mg;Ajustado para não ultrapassar ingestão máxima recomendada
Citrato de potássio;0,4;Potássio;400 mg;Corrigido para refletir composição real (~38%)
Citrato de magnésio;0,3;Magnésio;300 mg;
Citrato de cálcio;0,3;Cálcio;300 mg;Corrigido (antes superestimado)
Fosfato monobásico de potássio (KH2PO4);0,15;Fósforo;150 mg;Corrigido (antes superestimado)
Ácido ascórbico (Vitamina C);0,1;Vitamina C;100 mg;Natural (acerola/camu-camu ou sintético)
Colecalciferol (Vitamina D3);0,000025;Vitamina D3;25 µg;Dose segura e eficaz
D-alfa-tocoferol acetato (Vitamina E);0,015;Vitamina E;15 mg;
Menaquinona-7 (Vitamina K2);0,00012;Vitamina K2;0,12 mg;Forma MK-7, mais biodisponível
Ferro bisglicinato;0,15;Ferro;14 mg;Corrigido (antes subestimado)
Ácido fólico;0,0004;Vitamina B9;0,4 mg;
D-Biotina;0,00003;Vitamina B7;0,03 mg;
Metilcobalamina;0,0005;Vitamina B12;0,5 µg;
Pantotenato de cálcio;0,005;Vitamina B5;5 mg;
Piridoxina HCl;0,0015;Vitamina B6;1,5 mg;
Picolinato de zinco;0,015;Zinco;10 mg;
Selenometionina;0,000055;Selênio;55 µg;
Iodeto de potássio;0,00015;Iodo;150 µg;
Proteína isolada de ervilha;3,0;"Proteína, Ferro";"2,55 g, 2 mg";85% proteína em peso
Fibra de acácia (goma arábica);0,5;Fibras;0,4 g;
Spirulina em pó;2,0;"Proteína, Ferro, Vitaminas B";"1,2 g proteína, 2 mg Fe, 0,3 mg B1, 0,4 mg B2, 2,5 mg B3";Alimento completo natural
Levedura nutricional fortificada;3,0;"Vitaminas do Complexo B, Proteínas";"0,9 mg B1, 1,05 mg B2, 6 mg B3, 1,5 mg B5, 3 µg B12, 180 µg B9";Aumentado para suprir vitaminas B sem duplicação
Farinha de cenoura desidratada;1,5;Vitamina A (beta-caroteno);300 µg;Substitui Moringa; fonte natural de vitamina A
